"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"Subnum"	"Congruent"
2	1	"C:\Hannah's FYP\Black22_neu.jpg"	"joy"	1	"nose"	2	NA	132	1343	2	0	1	2
2	2	"C:\Hannah's FYP\White15_neu.jpg"	"sewage"	2	"eyes"	1	NA	221	671	1	0	1	2
2	3	"C:\Hannah's FYP\Black16_neu.jpg"	"despair"	1	"eyes"	1	NA	121	788	1	0	1	1
2	4	"C:\Hannah's FYP\Black17_neu.jpg"	"despair"	1	"nose"	1	NA	131	818	1	0	1	1
2	5	"C:\Hannah's FYP\Black9_neu.jpg"	"joy"	1	"eyes"	2	NA	122	544	2	0	1	2
2	6	"C:\Hannah's FYP\White9_neu.jpg"	"disgust"	2	"eyes"	1	NA	221	835	1	0	1	2
2	7	"C:\Hannah's FYP\Black14_neu.jpg"	"cockroach"	1	"eyes"	1	NA	121	832	1	0	1	1
2	8	"C:\Hannah's FYP\Black2_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	639	1	0	1	1
2	9	"C:\Hannah's FYP\Black10_neu.jpg"	"success"	1	"eyes"	2	NA	122	918	2	0	1	2
2	10	"C:\Hannah's FYP\White6_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	1848	1	0	1	2
2	11	"C:\Hannah's FYP\White18_neu.jpg"	"pest"	2	"nose"	1	NA	231	976	1	0	1	2
2	12	"C:\Hannah's FYP\White21_neu.jpg"	"vomit"	2	"nose"	1	NA	231	717	1	0	1	2
2	13	"C:\Hannah's FYP\White8_neu.jpg"	"pest"	2	"forehead"	1	NA	211	849	1	0	1	2
2	14	"C:\Hannah's FYP\Black5_neu.jpg"	"smile"	1	"forehead"	2	NA	112	1119	2	0	1	2
2	15	"C:\Hannah's FYP\Black17_neu.jpg"	"pest"	1	"nose"	1	NA	131	879	1	0	1	1
2	16	"C:\Hannah's FYP\Black17_neu.jpg"	"love"	1	"nose"	2	NA	132	689	2	0	1	2
2	17	"C:\Hannah's FYP\White11_neu.jpg"	"garbage"	2	"eyes"	1	NA	221	789	1	0	1	2
2	18	"C:\Hannah's FYP\Black11_neu.jpg"	"romance"	1	"eyes"	2	NA	122	2014	2	0	1	2
2	19	"C:\Hannah's FYP\Black23_neu.jpg"	"poison"	1	"nose"	1	NA	131	766	1	0	1	1
2	20	"C:\Hannah's FYP\Black11_neu.jpg"	"sewage"	1	"eyes"	1	NA	121	656	1	0	1	1
2	21	"C:\Hannah's FYP\Black10_neu.jpg"	"poison"	1	"eyes"	1	NA	121	1278	1	0	1	1
2	22	"C:\Hannah's FYP\White8_neu.jpg"	"success"	2	"forehead"	2	NA	212	738	2	0	1	1
2	23	"C:\Hannah's FYP\Black9_neu.jpg"	"cockroach"	1	"eyes"	1	NA	121	700	1	0	1	1
2	24	"C:\Hannah's FYP\Black20_neu.jpg"	"poison"	1	"nose"	1	NA	131	780	1	0	1	1
2	25	"C:\Hannah's FYP\Black9_neu.jpg"	"vacation"	1	"eyes"	2	NA	122	693	2	0	1	2
2	26	"C:\Hannah's FYP\White23_neu.jpg"	"vacation"	2	"nose"	2	NA	232	998	2	0	1	1
2	27	"C:\Hannah's FYP\White13_neu.jpg"	"vacation"	2	"eyes"	2	NA	222	654	2	0	1	1
2	28	"C:\Hannah's FYP\Black21_neu.jpg"	"garbage"	1	"nose"	1	NA	131	664	1	0	1	1
2	29	"C:\Hannah's FYP\White24_neu.jpg"	"cockroach"	2	"nose"	1	NA	231	614	1	0	1	2
2	30	"C:\Hannah's FYP\White1_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	790	1	0	1	2
2	31	"C:\Hannah's FYP\White5_neu.jpg"	"romance"	2	"forehead"	2	NA	212	606	2	0	1	1
2	32	"C:\Hannah's FYP\Black6_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	1399	1	0	1	1
2	33	"C:\Hannah's FYP\White6_neu.jpg"	"love"	2	"forehead"	2	NA	212	669	2	0	1	1
2	34	"C:\Hannah's FYP\Black11_neu.jpg"	"disgust"	1	"eyes"	1	NA	121	1627	1	0	1	1
2	35	"C:\Hannah's FYP\White24_neu.jpg"	"garbage"	2	"nose"	1	NA	231	727	1	0	1	2
2	36	"C:\Hannah's FYP\White22_neu.jpg"	"smile"	2	"nose"	2	NA	232	547	2	0	1	1
