"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"Subnum"
3	1	"C:\Hannah's FYP\Black2_smi.jpg"	""	1	"forehead"	NA	1	111	1216	1	0	1
3	2	"C:\Hannah's FYP\White15_smi.jpg"	""	2	"eyes"	NA	1	221	534	1	0	1
3	3	"C:\Hannah's FYP\White45_smi.jpg"	""	2	"nose"	NA	2	232	289	1	1	1
3	4	"C:\Hannah's FYP\Black41_smi.jpg"	""	1	"nose"	NA	2	132	439	1	1	1
3	5	"C:\Hannah's FYP\White38_smi.jpg"	""	2	"eyes"	NA	2	222	422	1	1	1
3	6	"C:\Hannah's FYP\Black48_smi.jpg"	""	1	"nose"	NA	2	132	414	2	0	1
3	7	"C:\Hannah's FYP\White13_smi.jpg"	""	2	"eyes"	NA	1	221	422	2	1	1
3	8	"C:\Hannah's FYP\Black42_smi.jpg"	""	1	"nose"	NA	2	132	526	1	1	1
3	9	"C:\Hannah's FYP\Black24_smi.jpg"	""	1	"nose"	NA	1	131	841	2	1	1
3	10	"C:\Hannah's FYP\White25_smi.jpg"	""	2	"forehead"	NA	2	212	375	1	1	1
3	11	"C:\Hannah's FYP\White24_smi.jpg"	""	2	"nose"	NA	1	231	1073	1	0	1
3	12	"C:\Hannah's FYP\White46_smi.jpg"	""	2	"nose"	NA	2	232	398	1	1	1
3	13	"C:\Hannah's FYP\Black18_smi.jpg"	""	1	"nose"	NA	1	131	391	1	0	1
3	14	"C:\Hannah's FYP\Black21_smi.jpg"	""	1	"nose"	NA	1	131	1200	1	0	1
3	15	"C:\Hannah's FYP\White3_smi.jpg"	""	2	"forehead"	NA	1	211	302	2	1	1
3	16	"C:\Hannah's FYP\Black8_smi.jpg"	""	1	"forehead"	NA	1	111	595	2	1	1
3	17	"C:\Hannah's FYP\White12_smi.jpg"	""	2	"eyes"	NA	1	221	2172	1	0	1
3	18	"C:\Hannah's FYP\Black12_smi.jpg"	""	1	"eyes"	NA	1	121	568	2	1	1
3	19	"C:\Hannah's FYP\Black7_smi.jpg"	""	1	"forehead"	NA	1	111	385	2	1	1
3	20	"C:\Hannah's FYP\White21_smi.jpg"	""	2	"nose"	NA	1	231	322	2	1	1
3	21	"C:\Hannah's FYP\Black43_smi.jpg"	""	1	"nose"	NA	2	132	702	1	1	1
3	22	"C:\Hannah's FYP\White14_smi.jpg"	""	2	"eyes"	NA	1	221	930	2	1	1
3	23	"C:\Hannah's FYP\White41_smi.jpg"	""	2	"nose"	NA	2	232	460	1	1	1
3	24	"C:\Hannah's FYP\White9_smi.jpg"	""	2	"eyes"	NA	1	221	907	2	1	1
3	25	"C:\Hannah's FYP\White8_smi.jpg"	""	2	"forehead"	NA	1	211	574	2	1	1
3	26	"C:\Hannah's FYP\Black27_smi.jpg"	""	1	"forehead"	NA	2	112	815	1	1	1
3	27	"C:\Hannah's FYP\White20_smi.jpg"	""	2	"nose"	NA	1	231	990	1	0	1
3	28	"C:\Hannah's FYP\White6_smi.jpg"	""	2	"forehead"	NA	1	211	893	1	0	1
3	29	"C:\Hannah's FYP\Black45_smi.jpg"	""	1	"nose"	NA	2	132	240	2	0	1
3	30	"C:\Hannah's FYP\White34_smi.jpg"	""	2	"eyes"	NA	2	222	457	1	1	1
3	31	"C:\Hannah's FYP\White11_smi.jpg"	""	2	"eyes"	NA	1	221	1175	1	0	1
3	32	"C:\Hannah's FYP\Black36_smi.jpg"	""	1	"eyes"	NA	2	122	1110	1	1	1
3	33	"C:\Hannah's FYP\White42_smi.jpg"	""	2	"nose"	NA	2	232	473	1	1	1
3	34	"C:\Hannah's FYP\Black3_smi.jpg"	""	1	"forehead"	NA	1	111	799	2	1	1
3	35	"C:\Hannah's FYP\White26_smi.jpg"	""	2	"forehead"	NA	2	212	439	1	1	1
3	36	"C:\Hannah's FYP\Black14_smi.jpg"	""	1	"eyes"	NA	1	121	758	2	1	1
3	37	"C:\Hannah's FYP\Black33_smi.jpg"	""	1	"eyes"	NA	2	122	1120	1	1	1
3	38	"C:\Hannah's FYP\White43_smi.jpg"	""	2	"nose"	NA	2	232	450	1	1	1
3	39	"C:\Hannah's FYP\Black40_smi.jpg"	""	1	"eyes"	NA	2	122	440	1	1	1
3	40	"C:\Hannah's FYP\Black16_smi.jpg"	""	1	"eyes"	NA	1	121	1519	2	1	1
3	41	"C:\Hannah's FYP\Black19_smi.jpg"	""	1	"nose"	NA	1	131	1072	2	1	1
3	42	"C:\Hannah's FYP\White19_smi.jpg"	""	2	"nose"	NA	1	231	860	2	1	1
3	43	"C:\Hannah's FYP\Black28_smi.jpg"	""	1	"forehead"	NA	2	112	689	1	1	1
3	44	"C:\Hannah's FYP\Black34_smi.jpg"	""	1	"eyes"	NA	2	122	957	1	1	1
3	45	"C:\Hannah's FYP\Black44_smi.jpg"	""	1	"nose"	NA	2	132	374	2	0	1
3	46	"C:\Hannah's FYP\White39_smi.jpg"	""	2	"eyes"	NA	2	222	511	1	1	1
3	47	"C:\Hannah's FYP\White31_smi.jpg"	""	2	"forehead"	NA	2	212	1692	2	0	1
3	48	"C:\Hannah's FYP\Black17_smi.jpg"	""	1	"nose"	NA	1	131	509	2	1	1
3	49	"C:\Hannah's FYP\Black1_smi.jpg"	""	1	"forehead"	NA	1	111	386	2	1	1
3	50	"C:\Hannah's FYP\White18_smi.jpg"	""	2	"nose"	NA	1	231	691	1	0	1
3	51	"C:\Hannah's FYP\Black10_smi.jpg"	""	1	"eyes"	NA	1	121	656	1	0	1
3	52	"C:\Hannah's FYP\White44_smi.jpg"	""	2	"nose"	NA	2	232	486	1	1	1
3	53	"C:\Hannah's FYP\White5_smi.jpg"	""	2	"forehead"	NA	1	211	643	1	0	1
3	54	"C:\Hannah's FYP\Black6_smi.jpg"	""	1	"forehead"	NA	1	111	1273	1	0	1
3	55	"C:\Hannah's FYP\White36_smi.jpg"	""	2	"eyes"	NA	2	222	757	2	0	1
3	56	"C:\Hannah's FYP\Black25_smi.jpg"	""	1	"forehead"	NA	2	112	358	2	0	1
3	57	"C:\Hannah's FYP\White48_smi.jpg"	""	2	"nose"	NA	2	232	929	2	0	1
3	58	"C:\Hannah's FYP\Black23_smi.jpg"	""	1	"nose"	NA	1	131	348	1	0	1
3	59	"C:\Hannah's FYP\White16_smi.jpg"	""	2	"eyes"	NA	1	221	463	2	1	1
3	60	"C:\Hannah's FYP\Black26_smi.jpg"	""	1	"forehead"	NA	2	112	534	1	1	1
3	61	"C:\Hannah's FYP\White28_smi.jpg"	""	2	"forehead"	NA	2	212	610	1	1	1
3	62	"C:\Hannah's FYP\Black11_smi.jpg"	""	1	"eyes"	NA	1	121	5938	1	0	1
3	63	"C:\Hannah's FYP\White30_smi.jpg"	""	2	"forehead"	NA	2	212	3517	2	0	1
3	64	"C:\Hannah's FYP\Black20_smi.jpg"	""	1	"nose"	NA	1	131	600	2	1	1
3	65	"C:\Hannah's FYP\Black22_smi.jpg"	""	1	"nose"	NA	1	131	384	1	0	1
3	66	"C:\Hannah's FYP\White4_smi.jpg"	""	2	"forehead"	NA	1	211	2353	2	1	1
3	67	"C:\Hannah's FYP\Black29_smi.jpg"	""	1	"forehead"	NA	2	112	390	1	1	1
3	68	"C:\Hannah's FYP\White37_smi.jpg"	""	2	"eyes"	NA	2	222	824	2	0	1
3	69	"C:\Hannah's FYP\White33_smi.jpg"	""	2	"eyes"	NA	2	222	863	2	0	1
3	70	"C:\Hannah's FYP\White1_smi.jpg"	""	2	"forehead"	NA	1	211	356	2	1	1
3	71	"C:\Hannah's FYP\White22_smi.jpg"	""	2	"nose"	NA	1	231	1855	2	1	1
3	72	"C:\Hannah's FYP\White40_smi.jpg"	""	2	"eyes"	NA	2	222	418	2	0	1
3	73	"C:\Hannah's FYP\Black5_smi.jpg"	""	1	"forehead"	NA	1	111	138	2	1	1
3	74	"C:\Hannah's FYP\Black15_smi.jpg"	""	1	"eyes"	NA	1	121	174	2	1	1
3	75	"C:\Hannah's FYP\Black4_smi.jpg"	""	1	"forehead"	NA	1	111	928	2	1	1
3	76	"C:\Hannah's FYP\Black46_smi.jpg"	""	1	"nose"	NA	2	132	666	1	1	1
3	77	"C:\Hannah's FYP\White47_smi.jpg"	""	2	"nose"	NA	2	232	728	2	0	1
3	78	"C:\Hannah's FYP\Black39_smi.jpg"	""	1	"eyes"	NA	2	122	411	1	1	1
