"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	1	"C:\Hannah's FYP\Black22_neu.jpg"	"joy"	"Black"	"nose"	"Pos"	132	1343	2	0	1	"Incon"
2	2	"C:\Hannah's FYP\White15_neu.jpg"	"sewage"	"White"	"eyes"	"Neg"	221	671	1	0	1	"Incon"
2	3	"C:\Hannah's FYP\Black16_neu.jpg"	"despair"	"Black"	"eyes"	"Neg"	121	788	1	0	1	"Con"
2	4	"C:\Hannah's FYP\Black17_neu.jpg"	"despair"	"Black"	"nose"	"Neg"	131	818	1	0	1	"Con"
2	5	"C:\Hannah's FYP\Black9_neu.jpg"	"joy"	"Black"	"eyes"	"Pos"	122	544	2	0	1	"Incon"
2	6	"C:\Hannah's FYP\White9_neu.jpg"	"disgust"	"White"	"eyes"	"Neg"	221	835	1	0	1	"Incon"
2	7	"C:\Hannah's FYP\Black14_neu.jpg"	"cockroach"	"Black"	"eyes"	"Neg"	121	832	1	0	1	"Con"
2	8	"C:\Hannah's FYP\Black2_neu.jpg"	"cockroach"	"Black"	"forehead"	"Neg"	111	639	1	0	1	"Con"
2	9	"C:\Hannah's FYP\Black10_neu.jpg"	"success"	"Black"	"eyes"	"Pos"	122	918	2	0	1	"Incon"
2	10	"C:\Hannah's FYP\White6_neu.jpg"	"disgust"	"White"	"forehead"	"Neg"	211	1848	1	0	1	"Incon"
2	11	"C:\Hannah's FYP\White18_neu.jpg"	"pest"	"White"	"nose"	"Neg"	231	976	1	0	1	"Incon"
2	12	"C:\Hannah's FYP\White21_neu.jpg"	"vomit"	"White"	"nose"	"Neg"	231	717	1	0	1	"Incon"
2	13	"C:\Hannah's FYP\White8_neu.jpg"	"pest"	"White"	"forehead"	"Neg"	211	849	1	0	1	"Incon"
2	14	"C:\Hannah's FYP\Black5_neu.jpg"	"smile"	"Black"	"forehead"	"Pos"	112	1119	2	0	1	"Incon"
2	15	"C:\Hannah's FYP\Black17_neu.jpg"	"pest"	"Black"	"nose"	"Neg"	131	879	1	0	1	"Con"
2	16	"C:\Hannah's FYP\Black17_neu.jpg"	"love"	"Black"	"nose"	"Pos"	132	689	2	0	1	"Incon"
2	17	"C:\Hannah's FYP\White11_neu.jpg"	"garbage"	"White"	"eyes"	"Neg"	221	789	1	0	1	"Incon"
2	18	"C:\Hannah's FYP\Black11_neu.jpg"	"romance"	"Black"	"eyes"	"Pos"	122	2014	2	0	1	"Incon"
2	19	"C:\Hannah's FYP\Black23_neu.jpg"	"poison"	"Black"	"nose"	"Neg"	131	766	1	0	1	"Con"
2	20	"C:\Hannah's FYP\Black11_neu.jpg"	"sewage"	"Black"	"eyes"	"Neg"	121	656	1	0	1	"Con"
2	21	"C:\Hannah's FYP\Black10_neu.jpg"	"poison"	"Black"	"eyes"	"Neg"	121	1278	1	0	1	"Con"
2	22	"C:\Hannah's FYP\White8_neu.jpg"	"success"	"White"	"forehead"	"Pos"	212	738	2	0	1	"Con"
2	23	"C:\Hannah's FYP\Black9_neu.jpg"	"cockroach"	"Black"	"eyes"	"Neg"	121	700	1	0	1	"Con"
