"Subnum"	"eyes_pos"	"eyes_neg"	"fore_pos"	"fore_neg"	"nose_pos"	"nose_neg"
"1"	883.8125	856.375	951.3125	900.8125	788.25	932.6875
"2"	488.5	685.1875	685.9375	476.125	336.25	448.8125
"3"	846.5	679.125	671.5	836.3125	652.6875	787.25
"4"	679.6875	854.375	703.9375	843.25	780.8125	1055
"5"	593	301.125	380.8125	320.5	429.875	302.4375
"6"	488	553.125	503	512.1875	494.125	481.5
"7"	701.4375	692.6875	911.625	642	736.625	626
"8"	661.75	807.6875	727.75	732.4375	707.125	824.625
"9"	620.8125	644.625	667.875	714	592.875	678.375
"10"	1751.4375	1260.8125	1273.0625	1487.8125	1359.3125	1105.75
"11"	907.125	858.0625	925.375	791.5	1125.0625	729.5
"12"	576.125	560.4375	516.125	576.0625	521.75	747
"13"	673.375	670.5625	647.5	593.625	638.75	615
"14"	607.1875	745.625	599.6875	649.9375	618.3125	517.0625
"15"	617.625	855.75	671.875	809.875	722	884.1875
"16"	689.0625	765.0625	728.25	837.6875	648.5625	727.625
"17"	846.9375	657.375	568.375	644.4375	525.5625	571.9375
"18"	485.5	508.625	605.3125	565.5	525.3125	515.5625
"19"	587.5	572.5625	605.875	643.3125	906	572.125
"20"	595.5625	546.125	579.75	653.5625	588.9375	516.75
"21"	777.4375	735	812.9375	851.375	716.625	663.6875
"22"	865.5	712.875	799.375	784.5625	715.4375	588.875
"23"	556.375	637.4375	586.6875	574.5625	582.8125	568.625
"24"	579.8125	242	356.25	372.9375	192.0625	439.9375
"25"	595.9375	707.0625	577.875	591.3125	591.25	548.9375
"26"	486.9375	580	560.25	569.25	511.6875	534.375
"27"	1022.8125	911.5	1055.1875	753.5	1167.875	953.6875
