"Subnum"	"eyes_pos"	"eyes_neg"	"fore_pos"	"fore_neg"	"nose_pos"	"nose_neg"
"1"	659	798.875	825.6875	839.6875	875.3125	824.375
"2"	658.125	495.4375	538.5	341.125	464.5625	373.3125
"3"	852.25	869.0625	639.5625	692.1875	652.25	673.6875
"4"	703.5625	838.4375	767.8125	844.25	1037.0625	857.5
"5"	279.375	539.125	297.3125	296.4375	279.625	254.6875
"6"	499.8125	563.5	478.625	518.0625	530.6875	507.1875
"7"	763.5625	657.125	706.1875	631.1875	700.25	718
"8"	686.25	783.8125	661.375	739.8125	681.6875	736.0625
"9"	613.3125	664.1875	630.8125	678.625	610.375	665.8125
"10"	1062.625	1438.1875	1520.3125	1196.0625	1134	975.5625
"11"	1105.3125	834.625	1082.75	817.875	966.625	837.5625
"12"	605.3125	752.875	496.9375	667.5625	449.25	588.125
"13"	560.1875	594.5	580.3125	593.75	582.1875	600.6875
"14"	568.3125	611	611.125	577.625	645.375	572.875
"15"	618.875	787.1875	661	762.5625	650.25	703.4375
"16"	812.8125	764.9375	710.125	833.8125	725.3125	772.5
"17"	573.75	661.4375	631.25	690.6875	744.3125	584.75
"18"	501.4375	564.4375	556.625	565.0625	502.9375	523.125
"19"	544.3125	650	635.1875	542.0625	540.3125	552.3125
"20"	504.1875	538.5	580.5	601.5625	537.75	553.5
"21"	875.375	772.8125	807.4375	685.875	767.5	699.6875
"22"	692.25	622.6875	716.875	719.1875	714.9375	553.375
"23"	542.9375	579.6875	516.8125	605.8125	539.375	559.625
"24"	137.375	265.3125	480.75	752.125	286.1875	153.3125
"25"	543.75	577.4375	532.5625	598.6875	617.5	571.3125
"26"	491.5	500.5625	528.375	525.5	512.625	550.4375
"27"	926.5625	810.8125	1001.8125	843.625	1064	1282.4375
