"Subnum"	"eyes_con"	"eyes_inc"	"fore_con"	"fore_inc"	"nose_con"	"nose_inc"
"1"	757.6875	841.34375	863.25	895.5	904	806.3125
"2"	671.65625	491.96875	507.3125	513.53125	456.6875	354.78125
"3"	765.6875	857.78125	737.9375	681.84375	719.75	663.1875
"4"	778.96875	759.0625	805.53125	774.09375	1046.03125	819.15625
"5"	290.25	566.0625	308.90625	338.625	291.03125	342.28125
"6"	526.46875	525.75	495.40625	510.53125	506.09375	500.65625
"7"	728.125	679.28125	674.09375	771.40625	663.125	727.3125
"8"	746.96875	722.78125	696.90625	733.78125	753.15625	721.59375
"9"	628.96875	642.5	672.40625	673.25	644.375	629.34375
"10"	1161.71875	1594.8125	1504.0625	1234.5625	1119.875	1167.4375
"11"	981.6875	870.875	937.125	871.625	848.0625	981.3125
"12"	582.875	664.5	536.5	591.84375	598.125	554.9375
"13"	615.375	633.9375	586.96875	620.625	598.59375	619.71875
"14"	656.96875	609.09375	630.53125	588.65625	581.21875	595.59375
"15"	737.3125	702.40625	735.4375	717.21875	767.21875	712.71875
"16"	788.9375	727	773.90625	781.03125	726.46875	710.53125
"17"	615.5625	754.1875	637.84375	629.53125	658.125	555.15625
"18"	505.03125	524.96875	561.0625	585.1875	509.25	524.21875
"19"	558.4375	618.75	639.25	573.96875	556.21875	729.15625
"20"	525.15625	567.03125	617.03125	590.65625	527.25	571.21875
"21"	805.1875	775.125	829.40625	749.40625	715.59375	708.15625
"22"	702.5625	744.09375	750.71875	759.28125	651.90625	634.40625
"23"	590.1875	568.03125	545.6875	596.25	554	571.21875
"24"	189.6875	422.5625	426.84375	554.1875	363.0625	172.6875
"25"	625.40625	586.6875	561.9375	588.28125	583.21875	581.28125
"26"	535.75	493.75	548.8125	542.875	523.5	531.0625
"27"	919.03125	916.8125	877.65625	949.40625	1008.84375	1225.15625
